,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Stefon Diggs,BUF,WR,29,2,2,0,0,0,0,0,0,0,,0,23,20,270,13.50,4,0,0,4,,,51,71.0,74.0,61.0,34,1,1
1,Lamar Jackson,BAL,QB,25,2,2,38,59,531,6,1,15,136,9.07,1,0,0,0,,0,1,0,1,,,63,62.8,69.8,63.8,30,1,2
2,Josh Allen,BUF,QB,26,2,2,52,69,614,7,2,11,66,6.00,1,0,0,0,,0,0,0,1,,,61,61.2,66.2,63.2,28,2,3
3,Nick Chubb,CLE,RB,27,2,2,0,0,0,0,0,39,228,5.85,3,4,4,28,7.00,0,0,0,3,,,44,47.6,50.6,45.6,27,1,4
4,Amon-Ra St. Brown,DET,WR,23,2,2,0,0,0,0,0,2,68,34.00,0,24,17,180,10.59,3,0,0,3,,,43,59.8,62.8,51.3,25,2,5
5,Jaylen Waddle,MIA,WR,24,2,2,0,0,0,0,0,1,8,8.00,0,24,15,240,16.00,3,0,0,3,,,43,57.8,60.8,50.3,25,3,6
6,Jalen Hurts,PHI,QB,24,2,2,44,63,576,1,1,28,147,5.25,3,0,0,0,,0,1,0,3,,,58,57.7,64.7,58.7,25,3,7
7,Tyreek Hill,MIA,WR,28,2,2,0,0,0,0,0,1,6,6.00,0,25,19,284,14.95,2,1,0,2,,,41,60.0,63.0,50.5,24,4,8
8,Carson Wentz,WAS,QB,30,2,2,57,87,650,7,3,8,35,4.38,0,0,0,0,,0,1,0,0,,2,56,55.5,61.5,58.5,22,4,9
9,Cooper Kupp,LAR,WR,29,2,2,0,0,0,0,0,0,0,,0,29,24,236,9.83,3,1,1,3,,,40,63.6,67.6,51.6,22,5,10
10,D'Andre Swift,DET,RB,23,2,2,0,0,0,0,0,20,200,10.00,1,8,5,62,12.40,1,0,0,2,,,38,43.2,46.2,40.7,22,2,11
11,Tua Tagovailoa,MIA,QB,24,2,2,59,83,739,7,2,3,1,0.33,0,0,0,0,,0,1,0,0,,,54,53.7,58.7,55.7,20,5,12
12,Aaron Jones,GNB,RB,28,2,2,0,0,0,0,0,20,181,9.05,1,8,6,65,10.83,1,0,0,2,,,37,42.6,45.6,39.6,20,3,13
13,Saquon Barkley,NYG,RB,25,2,2,0,0,0,0,0,39,236,6.05,1,11,9,46,5.11,0,1,0,1,1,,36,45.2,48.2,40.7,20,4,14
14,Patrick Mahomes,KAN,QB,27,2,2,54,74,595,7,0,5,4,0.80,0,0,0,0,,0,1,0,0,,,52,52.2,55.2,52.2,19,6,15
15,Justin Jefferson,MIN,WR,23,2,2,0,0,0,0,0,0,0,,0,23,15,232,15.47,2,0,0,2,,,35,50.2,53.2,42.7,18,6,16
16,James Robinson,JAX,RB,24,2,2,0,0,0,0,0,34,130,3.82,2,4,3,17,5.67,1,0,0,3,,,33,35.7,38.7,34.2,16,5,17
17,Clyde Edwards-Helaire,KAN,RB,23,2,2,0,0,0,0,0,15,116,7.73,0,7,7,76,10.86,2,0,0,2,,,31,38.2,41.2,34.7,15,6,18
18,Christian Kirk,JAX,WR,26,2,2,0,0,0,0,0,0,0,,0,18,12,195,16.25,2,0,0,2,,,32,43.5,46.5,37.5,14,7,19
19,Justin Herbert,LAC,QB,24,2,2,59,82,613,6,1,6,2,0.33,0,0,0,0,,0,0,0,0,,,47,46.7,50.7,47.7,13,7,20
20,Kyler Murray,ARI,QB,25,2,2,53,83,470,3,1,10,57,5.70,1,0,0,0,,0,0,0,1,1,2,47,46.5,50.5,47.5,13,8,21
21,Jonathan Taylor,IND,RB,23,2,2,0,0,0,0,0,40,215,5.38,1,8,5,23,4.60,0,0,0,1,,,30,34.8,37.8,32.3,13,7,22
22,Michael Thomas,NOR,WR,29,2,2,0,0,0,0,0,0,0,,0,17,11,122,11.09,3,0,0,3,,,30,41.2,44.2,35.7,13,8,23
23,Travis Kelce,KAN,TE,33,2,2,0,0,0,0,0,0,0,,0,16,13,172,13.23,1,0,0,1,,,23,36.2,39.2,29.7,12,1,24
24,Jahan Dotson,WAS,WR,22,2,2,0,0,0,0,0,1,-10,-10.00,0,10,7,99,14.14,3,0,0,3,1,,29,35.9,35.9,32.4,12,9,25
25,Rashod Bateman,BAL,WR,23,2,1,0,0,0,0,0,0,0,,0,12,6,167,27.83,2,0,0,2,,,29,34.7,37.7,31.7,11,10,26
26,Mark Andrews,BAL,TE,27,2,2,0,0,0,0,0,1,3,3.00,0,18,14,156,11.14,1,0,0,1,,,22,35.9,38.9,28.9,11,2,27
27,Devin Duvernay,BAL,WR,25,2,2,0,0,0,0,0,0,0,,0,6,6,96,16.00,2,0,0,3,,,28,33.6,33.6,30.6,10,11,28
28,Davante Adams,LVR,WR,30,2,2,0,0,0,0,0,0,0,,0,24,12,153,12.75,2,0,0,2,,,27,39.3,42.3,33.3,10,12,29
30,Garrett Wilson,NYJ,WR,22,2,1,0,0,0,0,0,1,-2,-2.00,0,22,12,154,12.83,2,0,0,2,,,27,39.2,42.2,33.2,10,13,30
31,Curtis Samuel,WAS,WR,26,2,1,0,0,0,0,0,5,38,7.60,0,20,15,133,8.87,2,1,1,2,,,27,42.1,46.1,34.6,10,14,31
32,Kareem Hunt,CLE,RB,27,2,0,0,0,0,0,0,24,104,4.33,1,6,6,40,6.67,1,0,0,2,,,26,32.4,35.4,29.4,10,8,32
33,Miles Sanders,PHI,RB,25,2,2,0,0,0,0,0,30,176,5.87,1,5,5,15,3.00,0,0,0,1,,,25,30.1,33.1,27.6,8,9,33
34,Jared Goff,DET,QB,28,2,2,41,71,471,6,1,4,7,1.75,0,0,0,0,,0,1,0,0,,,42,41.5,45.5,42.5,8,9,34
35,Joe Flacco,NYJ,QB,37,2,2,63,103,616,5,1,3,6,2.00,0,0,0,0,,0,1,1,0,,,41,41.2,46.2,42.2,8,10,35
36,Darren Waller,LVR,TE,30,2,2,0,0,0,0,0,0,0,,0,14,10,129,12.90,1,0,0,1,,,19,28.9,31.9,23.9,8,3,36
37,Christian McCaffrey,CAR,RB,26,2,2,0,0,0,0,0,25,135,5.40,1,10,8,50,6.25,0,0,0,1,,,25,32.5,35.5,28.5,8,10,37
38,Gerald Everett,LAC,TE,28,2,2,0,0,0,0,0,0,0,,0,14,9,125,13.89,1,0,0,1,,,19,27.5,30.5,23.0,8,4,38
39,Ja'Marr Chase,CIN,WR,22,2,2,0,0,0,0,0,1,4,4.00,0,25,15,183,12.20,1,0,0,1,,,25,39.7,42.7,32.2,7,15,39
40,Cordarrelle Patterson,ATL,RB,31,2,1,0,0,0,0,0,32,161,5.03,1,6,3,16,5.33,0,0,0,1,,,24,26.7,29.7,25.2,7,11,40
41,Drake London,ATL,WR,21,2,1,0,0,0,0,0,0,0,,0,19,13,160,12.31,1,0,0,1,1,,24,37.0,40.0,30.5,7,16,41
42,Antonio Gibson ,WAS,RB,24,2,2,0,0,0,0,0,28,86,3.07,1,12,9,85,9.44,0,0,0,1,,,23,32.1,32.1,27.6,6,12,42
43,Joe Mixon,CIN,RB,26,2,2,0,0,0,0,0,46,139,3.02,0,13,10,89,8.90,0,0,0,0,,,23,32.8,35.8,27.8,6,13,43
44,Zach Ertz,ARI,TE,32,2,2,0,0,0,0,0,0,0,,0,15,10,89,8.90,1,0,0,1,1,,17,26.9,26.9,21.9,6,5,44
45,O.J. Howard,HOU,TE,28,2,1,0,0,0,0,0,0,0,,0,3,3,45,15.00,2,0,0,2,,,17,19.5,19.5,18.0,6,6,45
46,AJ Dillon ,GNB,RB,24,2,0,0,0,0,0,0,28,106,3.79,1,9,6,52,8.67,0,0,0,1,,,22,27.8,30.8,24.8,5,14,46
47,A.J. Brown,PHI,WR,25,2,2,0,0,0,0,0,0,0,,0,21,15,224,14.93,0,0,0,0,,,22,37.4,40.4,29.9,5,17,47
48,Taysom Hill,NOR,TE,32,2,1,0,0,0,0,0,7,95,13.57,1,1,1,2,2.00,0,0,0,1,,,16,16.7,16.7,16.2,5,7,48
49,Pat Freiermuth,PIT,TE,24,2,2,0,0,0,0,0,0,0,,0,17,9,97,10.78,1,0,0,1,,,16,24.7,24.7,20.2,5,8,49
50,Corey Davis,NYJ,WR,27,2,1,0,0,0,0,0,0,0,,0,14,8,160,20.00,1,0,0,1,,,22,30.0,33.0,26.0,5,18,50
51,Noah Brown,DAL,WR,26,2,2,0,0,0,0,0,0,0,,0,14,10,159,15.90,1,0,0,1,,,22,31.9,34.9,26.9,5,19,51
52,Leonard Fournette,TAM,RB,27,2,2,0,0,0,0,0,45,192,4.27,0,6,4,19,4.75,0,0,0,0,,,21,25.1,28.1,23.1,4,15,52
53,Jamaal Williams,DET,RB,27,2,0,0,0,0,0,0,23,81,3.52,2,3,2,9,4.50,0,0,0,2,,,21,23.0,23.0,22.0,4,16,53
54,Damien Harris,NWE,RB,25,2,2,0,0,0,0,0,24,119,4.96,1,5,4,26,6.50,0,0,0,1,,,21,24.5,27.5,22.5,4,17,54
55,Dallas Goedert,PHI,TE,27,2,2,0,0,0,0,0,0,0,,0,10,8,142,17.75,0,0,0,0,,,14,22.2,25.2,18.2,3,9,55
56,Logan Thomas,WAS,TE,31,2,2,0,0,0,0,0,0,0,,0,11,6,82,13.67,1,0,0,1,,,14,20.2,20.2,17.2,3,10,56
57,Deebo Samuel,SFO,WR,26,2,2,0,0,0,0,0,12,105,8.75,1,13,7,58,8.29,0,1,1,1,,,20,27.3,31.3,23.8,3,20,57
58,Terry McLaurin,WAS,WR,27,2,2,0,0,0,0,0,1,7,7.00,0,12,6,133,22.17,1,0,0,1,,,20,26.0,29.0,23.0,3,21,58
59,Courtland Sutton,DEN,WR,27,2,2,0,0,0,0,0,1,5,5.00,0,18,11,194,17.64,0,0,0,0,,,20,30.9,33.9,25.4,3,22,59
61,Dontrell Hilliard,TEN,RB,27,1,0,0,0,0,0,0,2,8,4.00,0,4,3,61,20.33,2,0,0,2,,,19,21.9,21.9,20.4,2,18,60
62,David Montgomery,CHI,RB,25,2,2,0,0,0,0,0,32,148,4.63,0,6,5,38,7.60,0,0,0,0,,,19,23.6,26.6,21.1,2,19,61
63,Mike Evans,TAM,WR,29,2,2,0,0,0,0,0,0,0,,0,11,8,132,16.50,1,0,0,1,,,19,27.2,30.2,23.2,2,23,62
64,Joe Burrow,CIN,QB,26,2,2,57,89,537,3,4,10,73,7.30,0,0,0,0,,0,3,1,0,,2,35,34.8,42.8,38.8,2,11,63
65,Tony Pollard,DAL,RB,25,2,1,0,0,0,0,0,15,51,3.40,1,9,6,69,11.50,0,0,0,1,,,18,24.0,24.0,21.0,1,20,64
66,Darrell Henderson,LAR,RB,25,2,2,0,0,0,0,0,23,94,4.09,1,5,5,26,5.20,0,0,0,1,,,18,23.0,23.0,20.5,1,21,65
67,Mike Williams,LAC,WR,28,2,2,0,0,0,0,0,0,0,,0,14,10,123,12.30,1,0,0,1,,,18,28.3,31.3,23.3,1,24,66
68,Najee Harris,PIT,RB,24,2,2,0,0,0,0,0,25,72,2.88,0,8,7,43,6.14,1,0,0,1,,,18,24.5,24.5,21.0,1,22,67
69,Michael Pittman Jr.,IND,WR,25,1,1,0,0,0,0,0,0,0,,0,13,9,121,13.44,1,0,0,1,,,18,27.1,30.1,22.6,1,25,68
70,Javonte Williams,DEN,RB,22,2,2,0,0,0,0,0,22,118,5.36,0,16,12,75,6.25,0,1,1,0,,,17,29.3,33.3,23.3,1,23,69
71,Tyler Conklin,NYJ,TE,27,2,2,0,0,0,0,0,0,0,,0,16,10,56,5.60,1,2,0,1,,,12,21.6,21.6,16.6,1,11,70
72,DeAndre Carter,LAC,WR,29,2,1,0,0,0,0,0,0,0,,0,7,6,119,19.83,1,0,0,1,,,18,23.9,26.9,20.9,1,26,71
73,Greg Dortch,ARI,WR,24,2,2,0,0,0,0,0,0,0,,0,13,11,118,10.73,1,0,0,1,,,18,28.8,31.8,23.3,,28,72
74,Nelson Agholor,NWE,WR,29,2,0,0,0,0,0,0,0,0,,0,11,9,138,15.33,1,1,1,1,,,18,26.8,30.8,22.3,,29,73
