,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders
1,RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG,TD,LNG,FUM,
2,1,"Justin Fields, QB",CHI,L 35-32 vs. MIA,15,178,11.9,1,61,0,
3,2,"Joe Mixon, RB",CIN,W 42-21 vs. CAR,22,153,7.0,4,29,0,
4,3,"Dameon Pierce, RB",HOU,L 29-17 vs. PHI,27,139,5.1,0,36,0,
5,4,"Derrick Henry, RB",TEN,L 20-17 at KC,17,115,6.8,2,56,0,
6,5,"Kenneth Walker III, RB",SEA,W 31-21 at ARI,26,109,4.2,2,15,0,
7,6,"Travis Etienne Jr., RB",JAX,W 27-20 vs. LV,28,109,3.9,2,18,0,
8,7,"Tyler Allgeier, RB",ATL,L 20-17 vs. LAC,10,99,9.9,0,44,0,
9,8,"Miles Sanders, RB",PHI,W 29-17 at HOU,17,93,5.5,1,25,0,
10,9,"Kenyan Drake, RB",BAL,W 27-13 at NO,24,93,3.9,2,18,0,
11,10,"Josh Allen, QB",BUF,L 20-17 at NYJ,9,86,9.6,2,36,0,
12,11,"Lamar Jackson, QB",BAL,W 27-13 at NO,11,82,7.5,0,17,0,
13,12,"Jamaal Williams, RB",DET,W 15-9 vs. GB,24,81,3.4,0,14,0,
14,13,"Michael Carter, RB",NYJ,W 20-17 vs. BUF,12,76,6.3,1,25,0,
15,14,"Josh Jacobs, RB",LV,L 27-20 at JAX,17,67,3.9,0,15,0,
16,15,"Patrick Mahomes, QB",KC,W 20-17 vs. TEN,6,63,10.5,1,20,0,
17,16,"Kyler Murray, QB",ARI,L 31-21 vs. SEA,8,60,7.5,0,21,1,
18,17,"Rhamondre Stevenson, RB",NE,W 26-3 vs. IND,15,60,4.0,0,16,0,
19,18,"Darrell Henderson Jr., RB",LAR,L 16-13 at TB,12,56,4.7,0,23,0,
20,19,"Trevor Lawrence, QB",JAX,W 27-20 vs. LV,6,53,8.8,0,24,1,
21,20,"Samaje Perine, RB",CIN,W 42-21 vs. CAR,6,51,8.5,0,29,0,
22,21,"Jeff Wilson Jr., RB",MIA,W 35-32 at CHI,9,51,5.7,0,28,0,
23,22,"James Robinson, RB",NYJ,W 20-17 vs. BUF,13,48,3.7,0,16,0,
24,23,"Austin Ekeler, RB",LAC,W 20-17 at ATL,14,47,3.4,1,9,1,
25,24,"Dalvin Cook, RB",MIN,W 20-17 at WSH,17,47,2.8,0,9,0,
26,25,"James Conner, RB",ARI,L 31-21 vs. SEA,7,45,6.4,0,14,0,
27,26,"Cordarrelle Patterson, RB",ATL,L 20-17 vs. LAC,13,44,3.4,2,7,0,
28,27,"Brian Robinson Jr., RB",WSH,L 20-17 vs. MIN,13,44,3.4,0,6,0,
29,28,"Aaron Rodgers, QB",GB,L 15-9 at DET,4,40,10.0,0,18,0,
30,29,"Malik Willis, QB",TEN,L 20-17 at KC,8,40,5.0,0,17,0,
31,30,"Sam Ehlinger, QB",IND,L 26-3 at NE,5,39,7.8,0,19,0,
