,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders
1,RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG,TD,LNG,FUM,
2,1,"Saquon Barkley, RB",NYG,W 21-20 at TEN,18,164,9.1,1,68,0,
3,2,"Jonathan Taylor, RB",IND,T 20-20 at HOU,31,161,5.2,1,17,0,
4,3,"D'Andre Swift, RB",DET,L 38-35 vs. PHI,15,144,9.6,1,50,0,
5,4,"Nick Chubb, RB",CLE,W 26-24 at CAR,22,141,6.4,0,25,0,
6,5,"Leonard Fournette, RB",TB,W 19-3 at DAL,21,127,6.0,0,17,0,
7,6,"Cordarrelle Patterson, RB",ATL,L 27-26 vs. NO,22,120,5.5,1,15,0,
8,7,"Miles Sanders, RB",PHI,W 38-35 at DET,13,96,7.4,1,24,0,
9,8,"Jalen Hurts, QB",PHI,W 38-35 at DET,17,90,5.3,1,16,0,
10,9,"Dalvin Cook, RB",MIN,W 23-7 vs. GB,20,90,4.5,0,16,0,
11,10,"Derrick Henry, RB",TEN,L 21-20 vs. NYG,21,82,3.9,0,18,0,
12,11,"Joe Mixon, RB",CIN,L 23-20 vs. PIT,27,82,3.0,0,31,0,
13,12,"Taysom Hill, TE",NO,W 27-26 at ATL,4,81,20.3,1,57,0,
14,13,"Marcus Mariota, QB",ATL,L 27-26 vs. NO,12,72,6.0,1,16,1,
15,14,"James Robinson, RB",JAX,L 28-22 at WSH,11,66,6.0,1,22,0,
16,15,"Isiah Pacheco, RB",KC,W 44-21 at ARI,12,62,5.2,1,22,0,
17,16,"Michael Carter, RB",NYJ,L 24-9 vs. BAL,10,60,6.0,0,22,0,
18,17,"Rashaad Penny, RB",SEA,W 17-16 vs. DEN,12,60,5.0,0,26,0,
19,18,"Melvin Gordon III, RB",DEN,L 17-16 at SEA,12,58,4.8,0,13,1,
20,19,"Antonio Gibson, RB",WSH,W 28-22 vs. JAX,14,58,4.1,0,13,0,
21,20,"Josh Jacobs, RB",LV,L 24-19 at LAC,10,57,5.7,0,18,0,
22,21,"Josh Allen, QB",BUF,W 31-10 at LAR,10,56,5.6,1,13,0,
23,22,"Trey Lance, QB",SF,L 19-10 at CHI,13,54,4.2,0,13,0,
24,23,"Deebo Samuel, WR",SF,L 19-10 at CHI,8,52,6.5,1,27,1,
25,24,"Ezekiel Elliott, RB",DAL,L 19-3 vs. TB,10,52,5.2,0,7,0,
26,25,"Aaron Jones, RB",GB,L 23-7 at MIN,5,49,9.8,0,29,0,
27,26,"Devin Singletary, RB",BUF,W 31-10 at LAR,8,48,6.0,0,13,0,
28,27,"Damien Harris, RB",NE,L 20-7 at MIA,9,48,5.3,0,12,0,
29,28,"Travis Etienne Jr., RB",JAX,L 28-22 at WSH,4,47,11.8,0,27,0,
30,29,"Joe Burrow, QB",CIN,L 23-20 vs. PIT,6,47,7.8,0,23,1,
31,30,"Darrell Henderson Jr., RB",LAR,L 31-10 vs. BUF,13,47,3.6,0,18,0,
