,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Nick Chubb,CLE,RB,27,8,8,0,0,0,0,0,149,841,5.64,10,15,10,70,7.00,0,0,0,10,1,,153,163.1,166.1,158.1,81,1,1
1,Josh Allen,BUF,QB,26,7,7,173,264,2198,19,6,53,306,5.77,2,0,0,0,,0,5,2,2,,,191,190.5,204.5,196.5,64,1,2
2,Derrick Henry ,TEN,RB,28,7,7,0,0,0,0,0,166,755,4.55,7,18,14,140,10.00,0,1,0,7,,,132,145.5,151.5,138.5,61,2,3
3,Saquon Barkley,NYG,RB,25,8,8,0,0,0,0,0,163,779,4.78,5,35,28,189,6.75,0,1,0,5,1,,129,156.8,162.8,142.8,58,3,4
4,Stefon Diggs,BUF,WR,29,7,7,0,0,0,0,0,0,0,,0,73,55,764,13.89,7,1,0,7,,,118,173.4,176.4,145.9,56,1,5
5,Joe Burrow,CIN,QB,26,8,8,211,305,2329,17,6,31,132,4.26,3,0,0,0,,0,4,2,3,,2,180,180.4,194.4,186.4,55,2,6
6,Travis Kelce,KAN,TE,33,7,7,0,0,0,0,0,2,5,2.50,0,60,47,553,11.77,7,0,0,7,1,,100,146.8,149.8,123.3,54,1,7
7,Christian McCaffrey,2TM,RB,26,8,7,1,1,34,1,0,111,525,4.73,3,54,43,356,8.28,2,1,0,5,,,123,166.5,172.5,145.0,53,4,8
8,Lamar Jackson,BAL,QB,25,8,8,148,235,1635,15,6,75,553,7.37,2,0,0,0,,0,3,1,2,,,179,178.7,191.7,184.7,53,3,9
9,Austin Ekeler,LAC,RB,27,7,7,0,0,0,0,0,84,380,4.52,5,61,53,357,6.74,3,2,0,8,,,122,174.7,180.7,148.2,52,5,10
10,Jalen Hurts,PHI,QB,24,7,7,142,212,1799,10,2,79,303,3.84,6,0,0,0,,0,3,0,6,,,174,174.3,182.3,176.3,49,4,11
11,Josh Jacobs,LVR,RB,24,7,7,0,0,0,0,0,121,676,5.59,6,26,22,152,6.91,0,1,0,6,,,119,140.8,146.8,129.8,49,6,12
12,Tyreek Hill,MIA,WR,28,8,8,0,0,0,0,0,5,25,5.00,0,92,69,961,13.93,2,1,0,2,,,111,179.6,182.6,145.1,48,2,13
13,Cooper Kupp,LAR,WR,29,7,7,0,1,0,0,0,6,51,8.50,1,84,64,686,10.72,5,1,1,6,,,108,171.7,175.7,139.7,46,3,14
14,Patrick Mahomes,KAN,QB,27,7,7,176,263,2159,20,5,21,113,5.38,0,0,0,0,,0,2,0,0,,1,170,169.7,180.7,174.7,45,5,15
15,Jaylen Waddle,MIA,WR,24,8,8,0,0,0,0,0,2,17,8.50,0,63,42,727,17.31,5,1,1,5,,,102,144.4,148.4,123.4,41,4,16
16,Mark Andrews,BAL,TE,27,8,8,0,0,0,0,0,2,7,3.50,0,64,42,488,11.62,5,0,0,5,,,80,121.5,124.5,100.5,35,2,17
17,Justin Jefferson,MIN,WR,23,7,7,1,1,23,0,0,1,3,3.00,1,71,52,752,14.46,2,0,0,3,1,,96,148.4,151.4,122.4,35,5,18
18,Taysom Hill,NOR,TE,32,7,2,6,8,88,1,0,39,337,8.64,5,4,3,16,5.33,1,1,0,6,,,79,81.8,84.8,80.3,35,3,19
19,A.J. Brown,PHI,WR,25,7,6,0,0,0,0,0,0,0,,0,64,39,659,16.90,5,0,0,5,,,96,134.9,137.9,115.4,35,6,20
20,Ja'Marr Chase,CIN,WR,22,7,7,0,0,0,0,0,4,2,0.50,0,74,47,605,12.87,6,1,1,6,,,95,141.7,145.7,118.2,33,7,21
21,Rhamondre Stevenson,NWE,RB,24,8,2,0,0,0,0,0,114,558,4.89,4,37,32,217,6.78,0,0,0,4,,,102,133.5,139.5,117.5,33,7,22
22,Kyler Murray,ARI,QB,25,8,8,215,325,1993,10,6,51,299,5.86,2,0,0,0,,0,6,1,2,1,3,156,155.6,168.6,161.6,31,6,23
23,Aaron Jones,GNB,RB,28,8,8,0,0,0,0,0,98,575,5.87,1,38,30,190,6.33,3,1,1,4,,,99,128.5,135.5,113.5,30,8,24
24,Jamaal Williams,DET,RB,27,7,4,0,0,0,0,0,102,464,4.55,8,12,9,57,6.33,0,2,1,8,,,98,107.1,111.1,102.6,29,9,25
25,Breece Hall,NYJ,RB,21,7,2,0,0,0,0,0,80,463,5.79,4,31,19,218,11.47,1,1,1,5,,,96,115.1,122.1,105.6,27,10,26
26,Leonard Fournette,TAM,RB,27,8,8,0,0,0,0,0,112,386,3.45,2,42,37,273,7.38,3,0,0,5,,,96,132.9,138.9,114.4,27,11,27
27,Dalvin Cook,MIN,RB,27,7,7,0,0,0,0,0,114,561,4.92,5,22,17,110,6.47,0,1,1,5,,,95,112.1,119.1,103.6,27,12,28
28,Tony Pollard,DAL,RB,25,8,2,0,0,0,0,0,81,506,6.25,5,19,12,121,10.08,0,0,0,5,,,93,104.7,110.7,98.7,24,13,29
30,Khalil Herbert,CHI,RB,24,8,1,0,0,0,0,0,91,563,6.19,4,7,6,62,10.33,1,0,0,5,,,93,98.5,101.5,95.5,24,14,30
31,Amari Cooper,CLE,WR,28,8,8,0,1,0,0,1,0,0,,0,66,39,553,14.18,5,0,0,5,,,83,122.3,126.3,103.8,23,8,31
32,Miles Sanders,PHI,RB,25,7,7,0,0,0,0,0,114,563,4.94,5,13,11,42,3.82,0,0,0,5,,,91,101.5,104.5,96.0,22,15,32
33,Davante Adams,LVR,WR,30,7,7,0,0,0,0,0,3,-1,-0.33,0,68,38,512,13.47,5,1,0,5,,,81,119.1,122.1,100.1,21,9,33
34,Dameon Pierce,HOU,RB,22,7,7,0,0,0,0,0,121,539,4.45,3,24,20,98,4.90,1,2,0,4,,,88,107.7,110.7,97.7,20,16,34
35,Geno Smith,SEA,QB,32,8,8,181,249,1924,13,3,35,158,4.51,1,0,0,0,,0,3,1,1,,,143,142.8,152.8,145.8,19,7,35
36,Travis Etienne,JAX,RB,23,8,3,0,0,0,0,0,92,571,6.21,2,26,17,157,9.24,0,3,1,2,1,,85,101.8,108.8,93.3,17,17,36
37,T.J. Hockenson,DET,TE,25,7,7,0,0,0,0,0,0,0,,0,43,26,395,15.19,3,0,0,3,1,,60,85.5,88.5,72.5,17,4,37
38,Alvin Kamara,NOR,RB,27,6,5,0,0,0,0,0,95,413,4.35,1,45,33,287,8.70,2,2,2,3,,,84,117.0,125.0,100.5,16,18,38
39,Tyler Boyd,CIN,WR,28,8,6,1,1,23,0,0,0,0,,0,43,32,493,15.41,4,0,0,4,1,,76,108.2,111.2,92.2,16,10,39
40,Mike Evans,TAM,WR,29,7,7,0,0,0,0,0,0,0,,0,59,39,577,14.79,3,0,0,3,,,76,114.7,117.7,95.2,16,11,40
41,Joe Mixon,CIN,RB,26,8,8,0,0,0,0,0,129,432,3.35,2,45,34,214,6.29,1,0,0,3,,,83,116.6,122.6,99.6,15,19,41
42,CeeDee Lamb,DAL,WR,23,8,8,0,0,0,0,0,5,12,2.40,0,73,42,556,13.24,3,0,0,3,,,75,116.8,119.8,95.8,15,12,42
43,Zach Ertz,ARI,TE,32,8,8,0,0,0,0,0,0,0,,0,60,41,354,8.63,3,0,0,3,2,,57,98.4,101.4,77.9,15,5,43
44,Brandon Aiyuk,SFO,WR,24,8,8,0,0,0,0,0,1,7,7.00,0,55,38,483,12.71,4,0,0,4,,,73,111.0,114.0,92.0,13,13,44
