,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"Davante Adams, WR",LV,L 27-20 at JAX,10,146,14.6,2,38,0,
3,2,"Tyreek Hill, WR",MIA,W 35-32 at CHI,7,143,20.4,1,39,0,
4,3,"Cooper Kupp, WR",LAR,L 16-13 at TB,8,127,15.9,1,69,0,
5,4,"Justin Jefferson, WR",MIN,W 20-17 at WSH,7,115,16.4,1,47,0,
6,5,"Travis Kelce, TE",KC,W 20-17 vs. TEN,10,106,10.6,0,23,0,
7,6,"Joshua Palmer, WR",LAC,W 20-17 at ATL,8,106,13.3,0,25,0,
8,7,"Dallas Goedert, TE",PHI,W 29-17 at HOU,8,100,12.5,1,21,0,
9,8,"Noah Fant, TE",SEA,W 31-21 at ARI,5,96,19.2,0,51,0,
10,9,"Stefon Diggs, WR",BUF,L 20-17 at NYJ,5,93,18.6,0,42,0,
11,10,"Garrett Wilson, WR",NYJ,W 20-17 vs. BUF,8,92,11.5,0,24,0,
12,11,"JuJu Smith-Schuster, WR",KC,W 20-17 vs. TEN,10,88,8.8,0,17,0,
13,12,"Allen Lazard, WR",GB,L 15-9 at DET,4,87,21.8,1,47,0,
14,13,"Jaylen Waddle, WR",MIA,W 35-32 at CHI,5,85,17.0,1,26,0,
15,14,"Mecole Hardman, WR",KC,W 20-17 vs. TEN,6,79,13.2,1,33,0,
16,15,"Christian Kirk, WR",JAX,W 27-20 vs. LV,8,76,9.5,1,23,0,
17,16,"Chris Olave, WR",NO,L 27-13 vs. BAL,6,71,11.8,0,16,0,
18,17,"T.J. Hockenson, TE",MIN,W 20-17 at WSH,9,70,7.8,0,19,0,
19,18,"Rondale Moore, WR",ARI,L 31-21 vs. SEA,8,69,8.6,0,18,0,
20,19,"Phillip Dorsett, WR",HOU,L 29-17 vs. PHI,3,69,23.0,0,34,0,
21,20,"Cade Otton, TE",TB,W 16-13 vs. LAR,5,68,13.6,1,28,0,
22,21,"Tyler Lockett, WR",SEA,W 31-21 at ARI,5,67,13.4,1,30,0,
23,22,"Adam Thielen, WR",MIN,W 20-17 at WSH,3,67,22.3,0,36,0,
24,23,"Curtis Samuel, WR",WSH,L 20-17 vs. MIN,3,65,21.7,1,49,0,
25,24,"Tee Higgins, WR",CIN,W 42-21 vs. CAR,7,60,8.6,0,17,0,
26,25,"A.J. Brown, WR",PHI,W 29-17 at HOU,4,59,14.8,1,31,0,
27,26,"Joe Mixon, RB",CIN,W 42-21 vs. CAR,4,58,14.5,1,35,0,
28,27,"Terry McLaurin, WR",WSH,L 20-17 vs. MIN,5,56,11.2,0,18,0,
29,28,"Amon-Ra St. Brown, WR",DET,W 15-9 vs. GB,4,55,13.8,0,25,0,
30,29,"Scotty Miller, WR",TB,W 16-13 vs. LAR,7,53,7.6,0,14,0,
31,30,"DeAndre Carter, WR",LAC,W 20-17 at ATL,5,53,10.6,0,23,0,
