,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"DeVonta Smith, WR",PHI,W 24-8 at WSH,8,169,21.1,1,45,0,
3,2,"Mack Hollins, WR",LV,L 24-22 at TEN,8,158,19.8,1,60,0,
4,3,"DeVante Parker, WR",NE,L 37-26 vs. BAL,5,156,31.2,0,40,0,
5,4,"Chris Olave, WR",NO,L 22-14 at CAR,9,147,16.3,0,49,0,
6,5,"Marquise Brown, WR",ARI,L 20-12 vs. LAR,14,140,10.0,0,20,0,
7,6,"Tyler Boyd, WR",CIN,W 27-12 at NYJ,4,105,26.3,1,56,0,
8,7,"Tre'Quan Smith, WR",NO,L 22-14 at CAR,4,105,26.3,0,48,0,
9,8,"Terry McLaurin, WR",WSH,L 24-8 vs. PHI,6,102,17.0,0,45,0,
10,9,"Jaylen Waddle, WR",MIA,W 21-19 vs. BUF,4,102,25.5,0,45,0,
11,10,"Amari Cooper, WR",CLE,W 29-17 vs. PIT,7,101,14.4,1,32,0,
12,11,"Joshua Palmer, WR",LAC,L 38-10 vs. JAX,6,99,16.5,0,45,0,
13,12,"Courtland Sutton, WR",DEN,W 11-10 vs. SF,8,97,12.1,0,34,0,
14,13,"Josh Reynolds, WR",DET,L 28-24 at MIN,6,96,16.0,0,26,0,
15,14,"Tee Higgins, WR",CIN,W 27-12 at NYJ,5,93,18.6,0,45,0,
16,15,"Laviska Shenault Jr., WR",CAR,W 22-14 vs. NO,2,90,45.0,1,67,0,
17,16,"David Njoku, TE",CLE,W 29-17 vs. PIT,9,89,9.9,1,19,0,
18,17,"Mark Andrews, TE",BAL,W 37-26 at NE,8,89,11.1,2,25,0,
19,18,"JuJu Smith-Schuster, WR",KC,L 20-17 at IND,5,89,17.8,0,53,0,
20,19,"Russell Gage, WR",TB,L 14-12 vs. GB,12,87,7.3,1,15,1,
21,20,"CeeDee Lamb, WR",DAL,W 23-16 at NYG,8,87,10.9,1,26,0,
22,21,"Kyle Pitts, TE",ATL,W 27-23 at SEA,5,87,17.4,0,28,0,
23,22,"Zay Jones, WR",JAX,W 38-10 at LAC,10,85,8.5,1,16,0,
24,23,"A.J. Brown, WR",PHI,W 24-8 at WSH,5,85,17.0,1,38,0,
25,24,"Robert Woods, WR",TEN,W 24-22 vs. LV,4,85,21.3,0,41,0,
26,25,"Tyler Conklin, TE",NYJ,L 27-12 vs. CIN,8,84,10.5,0,21,0,
27,26,"Diontae Johnson, WR",PIT,L 29-17 at CLE,8,84,10.5,0,16,0,
28,27,"Greg Dortch, WR",ARI,L 20-12 vs. LAR,9,80,8.9,0,30,0,
29,28,"Devin Singletary, RB",BUF,L 21-19 at MIA,9,78,8.7,1,22,0,
30,29,"Tyler Lockett, WR",SEA,L 27-23 vs. ATL,9,76,8.4,0,20,0,
31,30,"Isaiah McKenzie, WR",BUF,L 21-19 at MIA,7,76,10.9,1,27,0,
